서울/경기,시/군/구,동,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값,위도,경도
서울특별시,용산구,이태원동,658,스타벅스 경리단길점,영업,202206,202301,198806.8397,448482.5246,36.6347754236343,126.98665899850255
서울특별시,송파구,거여동,21-8,스타벅스 송파거여역점,영업,202206,202301,212638.4044,443502.4681,36.58981515584834,127.1412308733319
서울특별시,강서구,마곡동,759-3,스타벅스 마곡나루역점,영업,201709,202301,184555.6892,451767.8335,36.66425597593878,126.82724782724604
서울특별시,강서구,마곡동,773-2,스타벅스 마곡GMG점,영업,201704,202301,184824.2758,450916.7579,36.65659099785232,126.83026892561081
서울특별시,강남구,역삼동,747-21,스타벅스 구역삼사거리점,영업,200805,202301,203367.6909,443747.4596,36.59210061205887,127.03763418759611
서울특별시,용산구,한강로3가,40-999,스타벅스용산아이파크몰점,영업,200410,202301,196762.0774,447480.0396,36.625736892710506,126.96380026616086
서울특별시,강남구,도곡동,467-17,스타벅스SSG마켓도곡R,영업,200301,202301,204749.3045,443058.1947,36.58588346489796,127.0530695610223
서울특별시,강남구,역삼동,826-26,스타벅스 강남비젼타워점,영업,201203,202301,202550.9219,443816.8734,36.592728662927875,127.02850696663508
서울특별시,종로구,동숭동,30,스타벅스 동숭로아트점,영업,201109,202301,200275.4418,453409.1606,36.67917174774997,127.00308154735286
서울특별시,동작구,사당동,1031-27,스타벅스 사당역점,영업,200912,202301,198280.6647,441811.9827,36.5746635396611,126.98079062503992
서울특별시,강남구,역삼동,736-1,스타벅스아크플레이스,영업,200604,202301,203016.1838,444168.206,36.595893318114186,127.0337077201893
서울특별시,성북구,안암동5가,126-1,스타벅스 고대안암병원점,영업,202207,202301,202313.8508,453871.2647,36.68333313608676,127.02588795465341
서울특별시,구로구,구로동,81-3,스타벅스 구로구청점,영업,202206,202301,189925.8462,443503.1819,36.58985209607362,126.8874238926237
서울특별시,영등포구,여의도동,17-3,스타벅스국회의사당역점,영업,201610,202301,192585.6934,447295.1942,36.624047845657245,126.91711041902838
서울특별시,영등포구,여의도동,12,스타벅스여의도공원R,영업,201612,202301,193293.252,447448.3429,36.625433168009565,126.92501935515556
서울특별시,영등포구,여의도동,23-6,스타벅스여의도역R,영업,201602,202301,193165.4901,446797.3414,36.619565832637775,126.92359678303988
서울특별시,영등포구,여의도동,43-4,스타벅스커피 동여의도점,영업,201501,202301,193896.2821,446442.5714,36.616373817220705,126.93176914302735
서울특별시,마포구,합정동,473,스타벅스 합정푸르지오점,영업,202206,202301,192142.2714,449868.9646,36.647237483060806,126.91212677436744
서울특별시,마포구,아현동,330-5,스타벅스 아현역대로점,영업,202205,202301,195939.5038,450525.5454,36.65317791978249,126.9545878518633
서울특별시,강남구,수서동,724,스타벅스 수서역사거리점,영업,202109,202301,209052.0725,442797.1382,36.583499867381995,127.10114632396677
서울특별시,강동구,성내동,448-8,스타벅스 올림픽공원북2문점,영업,202107,202301,211309.3565,446899.8128,36.6204466656445,127.12642909752986
서울특별시,동대문구,전농동,591-53,스타벅스 청량리역사점,영업,202104,202301,204081.2821,453187.3952,36.67716463728366,127.04565878149093
서울특별시,강남구,세곡동,551,스타벅스 강남세곡점,영업,202104,202301,208771.13,440573.375,36.5634631401345,127.09798180495721
서울특별시,송파구,방이동,44-3,스타벅스 몽촌토성역점,영업,202007,202301,209929.5748,446085.1213,36.61312053134604,127.11099380270316
서울특별시,송파구,가락동,479,스타벅스 송파헬리오시티점,영업,202004,202301,127.11744,37.49672,32.574287584958526,124.87162264678197
서울특별시,강동구,성내동,550,스타벅스 강동구청DT점,영업,201906,202301,210872.7504,447441.9151,36.625336832306,127.12155588840457
서울특별시,중구,을지로7가,143,스타벅스 동대문디자인플라자점,영업,202210,202301,200806.1803,451624.0926,36.66308562086122,127.00901738852174
서울특별시,중구,태평로1가,62-12,스타벅스 세종대로점,영업,202210,202301,197847.6597,451811.6308,36.66477349841904,126.97592484912595
서울특별시,강남구,역삼동,788-10,스타벅스도곡공원점,영업,201708,202301,203579.748,443435.1584,36.58928555569823,127.04000248794871
서울특별시,용산구,한강로2가,342,스타벅스신용산역점,영업,201708,202301,126.9685,37.53142,32.57428787079058,124.87162105432564
서울특별시,동대문구,회기동,60-40,스타벅스경희대삼거리점,영업,201705,202301,204524.9763,454361.7357,36.68774496865264,127.05062948268876
서울특별시,동대문구,답십리동,497-67,스타벅스답십리역점,영업,201704,202301,204447.6981,451803.5584,36.66469279813403,127.04974998053378
서울특별시,송파구,방이동,226-10,스타벅스 송파방이 DT점,영업,201609,202301,210591.6927,444928.2824,36.6026886696085,127.11837907795378
서울특별시,강동구,성내동,441-2,스타벅스 둔촌동점,영업,201603,202301,211769.2321,446732.6402,36.61893464453128,127.13156754823888
서울특별시,용산구,용산동2가,1-3,스타벅스서울타워점,영업,201602,202301,198994.0019,449630.9532,36.645124555442216,126.98875019770074
서울특별시,중구,충정로1가,68,스타벅스 문화일보점,영업,200206,202301,197164.2265,451647.6741,36.66329423940577,126.96828086711002
서울특별시,송파구,송파동,96-7,스타벅스 송파사거리점,영업,201507,202301,209689.1546,444455.0269,36.59843356082893,127.1082858303299
서울특별시,동대문구,신설동,76-10,스타벅스 신설동역,영업,201507,202301,202185.9385,452713.197,36.672897729034155,127.02445353614256
서울특별시,강남구,대치동,651,스타벅스커피 도곡역점,영업,201408,202301,205004.7797,443335.5182,36.58838124567523,127.05592608739549
서울특별시,성북구,동소문동2가,11,스타벅스삼선교점,영업,201401,202301,200571.6309,454038.3821,36.684841724039394,127.00639567770038
서울특별시,송파구,방이동,89-12,스타벅스 올림픽아파트점,영업,201302,202301,211708.2647,445907.5829,36.61150048628927,127.13087343343189
서울특별시,마포구,서교동,490,스타벅스합정메세나몰,영업,201208,202301,192311.6426,449855.6439,36.64711882770619,126.9140209892892
서울특별시,성북구,동선동1가,92-1,스타벅스 성신여대점,영업,201204,202301,201557.0137,454536.0132,36.68932492414278,127.01742161907669
서울특별시,강남구,역삼동,798-30,스타벅스 역삼럭키,영업,201201,202301,203413.9787,443341.6429,36.588443453071605,127.03814965703722
서울특별시,용산구,갈월동,69-5,스타벅스숙대입구역점,영업,201103,202301,197451.0447,449107.8815,36.640408086157834,126.97149746629131
서울특별시,동대문구,회기동,16-41,스타벅스 경희대점,영업,201009,202301,204595.4983,454513.1812,36.68910935041932,127.0514194541971
서울특별시,용산구,갈월동,90-8,스타벅스남영동,영업,201609,202301,197477.9826,448957.2477,36.63905074091891,126.97179918184092
서울특별시,용산구,한남동,657-104,스타벅스커피 순천향입구점,영업,201305,202301,200429.934,447913.1431,36.62964515906445,127.0048068729307
서울특별시,종로구,동숭동,1-115,스타벅스 마로니에공원점,영업,200912,202301,200137.1187,453249.5626,36.677733590288206,127.00153400791747
서울특별시,종로구,당주동,128-27,스타벅스 경희궁로점,영업,201907,202301,197484.9839,452162.3045,36.66793264566035,126.97186696424606
서울특별시,광진구,화양동,5-45,스타벅스건국대점,영업,201910,202301,206213.7053,448817.7952,36.63777716006483,127.06947956765946
서울특별시,종로구,적선동,156,스타벅스정부서울청사R,영업,201801,202301,197595.1613,452460.0546,36.670616053453244,126.97309847749762
서울특별시,종로구,교북동,126,스타벅스 독립문역,영업,201801,202301,196522.367,452140.273,36.66773108231128,126.9610992083307
서울특별시,종로구,인의동,48-2,스타벅스주얼리시티점,영업,200611,202301,199812.6096,452132.6483,36.66766870818789,126.99790385322711
서울특별시,종로구,종로2가,84-14,스타벅스 종각점,영업,200607,202301,198567.9474,451965.8381,36.666164467654646,126.98398138854893
서울특별시,종로구,사직동,9,스타벅스 스페이스본점,영업,200801,202301,197181.3933,452458.8267,36.67060385299262,126.96846990224583
서울특별시,종로구,적선동,66,스타벅스적선점,영업,200209,202301,197629.279,452546.6215,36.67139622133251,126.97347986450573
서울특별시,종로구,명륜3가,154-3,스타벅스성대입구점,영업,200805,202301,199782.5422,453412.7926,36.67920449185247,126.99756715650281
서울특별시,종로구,재동,109,스타벅스 안국점,영업,201406,202301,198662.7167,452786.9048,36.67356350457025,126.98504002403206
서울특별시,종로구,수송동,146-1,스타벅스 이마빌딩점,영업,201106,202301,198076.879,452402.1953,36.67009575984517,126.97848731610618
서울특별시,종로구,평동,108-1,스타벅스 강북삼성병원1층점,영업,202107,202301,197111.9696,451776.4437,36.66445446807607,126.96769587031478
서울특별시,중구,남산동3가,13-31,스타벅스 명동남산,영업,202010,202301,198735.0683,450940.7599,36.65692737841081,126.98585245500921
서울특별시,중구,저동2가,89,스타벅스 포포인츠 명동,영업,202107,202301,198996.3666,451477.7041,36.66176627712084,126.98877422600803
서울특별시,중구,남대문로5가,253,스타벅스 숭례문에스지타워,영업,202008,202301,126.9751334,37.5562433,32.574288095672884,124.87162111963447
서울특별시,중구,수표동,47-1,스타벅스 청계크리스탈스퀘어점,영업,202203,202301,126.98902,37.56717,32.57428819663875,124.87162126509335
서울특별시,중구,을지로6가,18-12,스타벅스 동대문두타점,영업,201909,202301,200703.6256,451836.4583,36.664999400494324,127.00787047573888
서울특별시,중구,필동2가,10,스타벅스 충무로역점,폐업,201105,20230,199393.7481,451020.3172,36.65764494384213,126.99321935275455
서울특별시,중구,저동2가,24-1,스타벅스 중구저동점,영업,201412,202301,199078.3726,451354.5064,36.660656183862386,126.98969162211534
서울특별시,중구,태평로1가,25,스타벅스 한국프레스센터점,영업,201603,202301,197964.0955,451694.0357,36.66371406591804,126.9772275618774
서울특별시,강북구,미아동,35-30,스타벅스커피 미아사거리역점,영업,201412,202301,202647.3924,456612.3679,36.708033128901754,127.02962917994792
서울특별시,서초구,잠원동,37-7,스타벅스커피 논현역점,영업,201409,202301,201751.1356,445484.5858,36.607758939917524,127.01957302135601
서울특별시,중구,서소문동,75,스타벅스 서소문로점,영업,201410,202301,126.97365,37.56283,32.5742881547591,124.87162110244505
서울특별시,중구,장충동1가,62-35,스타벅스 동대입구역점,영업,201611,202301,200478.4265,450822.6102,36.65586341059036,127.00535085595311
서울특별시,도봉구,창동,659-5,스타벅스쌍문역점,영업,201312,202301,203008.3503,460663.6682,36.74453928763251,127.03368490134262
서울특별시,중구,충무로1가,25-52,스타벅스 명동역,영업,201301,202301,198437.6434,450953.928,36.65704559913891,126.98252589918441
서울특별시,중구,을지로2가,6,스타벅스 을지로내외빌딩R점,영업,201704,202301,198477.5172,451579.6342,36.66268411521826,126.98297062384226
서울특별시,용산구,한남동,36-7,스타벅스한남동R점,영업,201607,202301,200896.2084,448060.5027,36.630972748834765,127.0100202212136
서울특별시,용산구,용산동5가,24,스타벅스 용산파크타워점,영업,201701,202301,197338.9151,446893.4844,36.62045299676,126.9702512990057
서울특별시,용산구,동자동,45,스타벅스커피 서울역동자동점,영업,201403,202301,197563.0698,449934.1578,36.647854255384566,126.97274751295524
서울특별시,용산구,한강로2가,420,스타벅스용산역써밋R점,영업,201802,202301,196861.3509,447226.7205,36.62345446690595,126.96491117101476
서울특별시,용산구,동빙고동,10-8,스타벅스동빙고점,영업,200808,202301,199205.4179,447415.0761,36.62515664894497,126.9911166976449
서울특별시,중구,무교동,45,스타벅스 무교동점,영업,200203,202301,198055.2101,451729.379,36.66403274669757,126.978246626861
서울특별시,용산구,이촌동,300-20,스타벅스이촌점,영업,201709,202301,197921.8479,446264.3411,36.61478498106633,126.97676969996168
서울특별시,용산구,이촌동,302-60,스타벅스 동부이촌동점,영업,201205,202301,197194.5335,446539.644,36.6172639849484,126.96863852532097
서울특별시,용산구,청파동3가,111-35,스타벅스숙대점,영업,199803,202301,197035.084,449151.7622,36.64080230768713,126.96684600609808
서울특별시,용산구,효창동,13-2,스타벅스효창공원앞역점,영업,201911,202301,126.96037,37.54341,32.574287977368286,124.8716209652504
서울특별시,용산구,한강로3가,16-9,스타벅스 용산전자랜드점,영업,202111,202301,196370.7464,447841.6988,36.62899453445046,126.95942350726675
서울특별시,용산구,동자동,56,스타벅스 포포인츠서울역점,영업,202111,202301,197525.4073,449844.3198,36.647044595862006,126.97232661831644
서울특별시,용산구,서계동,219-17,스타벅스 서울역서부점,영업,202006,202301,197142.9508,450296.5892,36.65111908591069,126.96804792244396
서울특별시,강남구,역삼동,858,스타벅스 강남역신분당역사점,영업,202205,202301,202422.2517,443872.4845,36.59323013430873,127.02706923142428
서울특별시,강남구,논현동,164-7,스타벅스 강남논현점,영업,202112,202301,201996.425,445069.98,36.60402227032814,127.02231362567632
서울특별시,용산구,원효로1가,133-3,스타벅스용산리첸시아점,영업,202007,202301,197045.8495,448447.559,36.6344565034933,126.96696909602763
서울특별시,도봉구,창동,650-45,스타벅스쌍문도봉로점,영업,202104,202301,202855.4503,460322.9522,36.741469495420056,127.03197158628367
서울특별시,용산구,동자동,43-205,스타벅스 서울역사점,영업,202104,202301,197373.8399,450014.5379,36.64857808624857,126.97063105716433
서울특별시,중구,무교동,32-2,스타벅스 무교로점,영업,202010,202301,198068.0599,451666.7326,36.66346824521832,126.97839051560777
서울특별시,중구,을지로4가,323,스타벅스 을지로4가역점,영업,201911,202301,199693.3027,451535.8673,36.66229088495339,126.99656952634008
서울특별시,중구,남대문로4가,45,스타벅스 대한상공회의소R점,영업,201905,202301,197620.6489,450919.8743,36.6567370385133,126.9733883705961
서울특별시,용산구,한강로3가,63-70,스타벅스용산해링턴스퀘어점,영업,202012,202301,126.96297,37.52754,32.57428783483026,124.87162099629984
서울특별시,용산구,이태원동,127-6,스타벅스이태원역점,영업,201809,202301,199472.627,448007.9612,36.6304995526133,126.99410364618424
서울특별시,서초구,서초동,1365-23,스타벅스 서초구청점,영업,201801,202301,202591.5852,442462.7064,36.5805255444142,127.0289568270032
서울특별시,중구,다동,111,스타벅스 을지로국제빌딩점,영업,201707,202301,198365.141,451631.1876,36.66314849385766,126.98171355624012
서울특별시,중구,충무로1가,52-5,스타벅스 신세계본점 5F,영업,201705,202301,198263.9084,450960.763,36.657106890765284,126.98058275322123
서울특별시,성동구,하왕십리동,1070-3,스타벅스 상왕십리역점,영업,201701,202301,202407.0875,451424.1977,36.66128159892835,127.0269234270314
서울특별시,중구,남대문로5가,526,스타벅스 대우재단빌딩점,영업,201705,202301,197738.779,450468.9431,36.652673828564694,126.97471091443806
서울특별시,성북구,하월곡동,89-7,스타벅스 미아점,영업,201704,202301,202521.2098,456141.6308,36.70379153301167,127.02821541450217
서울특별시,중구,남대문로5가,84-11,스타벅스 연세세브란스점,영업,201608,202301,197612.9951,450539.8577,36.65331255789095,126.97330394965022
서울특별시,중구,을지로2가,88-5,스타벅스 을지로2가점,영업,201605,202301,126.98584,37.56541,32.57428818020577,124.87162123162554
서울특별시,중구,충무로1가,54,스타벅스 신세계본점6F,영업,201605,202301,198253.896,450905.2845,36.65660693656916,126.98047089620822
서울특별시,서초구,신원동,205-1,스타벅스 청계산입구역점,영업,201603,202301,127.05985,37.44505,32.57428710896908,124.8716220448935
서울특별시,중구,삼각동,115,스타벅스 을지로경기빌딩,영업,201510,202301,198448.8484,451658.3045,36.663392993402404,126.9826497965737
서울특별시,서초구,양재동,14-4,스타벅스  양재역점,영업,201409,202301,203189.7761,442243.6914,36.578550088386486,127.03563974706938
서울특별시,서초구,반포동,748-1,스타벅스커피 신논현역점,영업,201404,202301,202020.5407,444789.8017,36.60149741338407,127.02258242587244
서울특별시,서초구,서초동,1327-29,스타벅스 서초파라곤점,영업,201401,202301,202355.1981,443637.8891,36.59111625921092,127.0263191738878
서울특별시,서초구,서초동,1303-16,스타벅스커피 강남에비뉴,영업,201303,202301,202044.6291,444504.1128,36.59892289642724,127.02285088884273
서울특별시,중구,소공동,70,스타벅스 소공로점,영업,201301,202301,198232.0039,451276.3073,36.65995030972018,126.9802251914113
서울특별시,중구,을지로1가,50,스타벅스 서울시청점,영업,201204,202301,198160.4203,451559.1843,36.66249927437383,126.97942385968541
서울특별시,중구,을지로2가,204,스타벅스 을지로삼화타워,영업,201203,202301,198591.4875,451623.0202,36.66307525647634,126.9842453323206
서울특별시,서초구,서초동,1439-14,스타벅스 서초동점,영업,201112,202301,201837.5694,442638.7807,36.58211397958146,127.02053232501723
서울특별시,성동구,금호동4가,1483,스타벅스 금호역점,영업,201912,202301,201284.6117,449529.8716,36.64421333743416,127.01436529294648
서울특별시,성동구,성수동1가,656-335,스타벅스 서울숲역점,영업,201911,202301,203903.3536,448846.8202,36.638050980261944,127.04364614652353
서울특별시,중구,회현동1가,206,스타벅스 회현역점,영업,201107,202301,198219.4753,450761.4438,36.655310674502445,126.98008625559574
서울특별시,성동구,성수동1가,14-33,스타벅스 뚝섬역점,영업,201711,202301,204270.5772,449354.5236,36.64262450691574,127.04775515488946
서울특별시,중구,서소문동,57-9,스타벅스 서소문배재,영업,201107,202301,197470.5355,451184.5912,36.65912210623864,126.97170856869536
서울특별시,성동구,성수동2가,315-71,스타벅스 성수,영업,202202,202301,204827.4331,449134.9947,36.6406435930956,127.05398073839245
서울특별시,중구,순화동,1-170,스타벅스 KG타워점,폐업,201102,20230,197214.2058,451259.6719,36.6597979684683,126.96884131245785
서울특별시,중구,남대문로5가,120-0,스타벅스 남산단암점,영업,200909,202301,197761.3527,450694.3175,36.65470480931246,126.97496271705103
서울특별시,서초구,양재동,4-3,스타벅스 영동2교점,영업,200903,202301,203697.9224,442204.6013,36.578195996826636,127.0413171370754
서울특별시,서초구,서초동,1318-8,스타벅스 몬테소리점,영업,200710,202301,202305.7023,444007.8968,36.59445068279106,127.02576717034002
서울특별시,서초구,서초동,1327-5,스타벅스 강남삼성타운점,영업,200707,202301,202381.682,443713.8777,36.59180096046249,127.02661536472719
