서울/경기,시/군/구,동,리,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값,위도,경도
경기도,성남분당구,서현동,,263,스타벅스 분당서현역AK R점,영업,202103,203001,210853.833466798,431447.85813153,37.3851007981,127.1227076252
경기도,성남분당구,율동,,300,스타벅스 분당율동공원점,영업,201703,203001,213216.086358956,431322.066322588,37.3839139249,127.1500498025
경기도,성남분당구,정자동,,211,스타벅스 분당이마트점,영업,201105,203001,210542.529800466,428535.664844133,37.3587980632,127.1197565645
경기도,성남분당구,이매동,,146-2,스타벅스 분당이매점,영업,201705,203001,210768.04,432554.340000001,37.3950149714,127.1223980912
경기도,성남분당구,서현동,,254-1,스타벅스 서현미래에셋빌딩점,영업,200804,203001,210845.442254151,431776.486943273,37.3879779874,127.1232693325
경기도,성남분당구,서현동,,261-5,스타벅스 서현앤타운,영업,201205,203001,210707.843513014,431558.520481044,37.3860530327,127.1216974849
경기도,성남분당구,서현동,,248-5,스타벅스 서현역점,영업,201104,203001,210921.448431351,431547.599479153,37.3858531759,127.1240368127
경기도,성남분당구,서현동,,268-6,스타벅스 서현점,폐업,200312,201401,210715.089181848,431278.10075371,37.3834513,127.1217113
경기도,성남중원구,성남동,,3968,스타벅스 성남모란DT점,영업,202201,203001,211740.740358083,436352.197431573,37.4292118337,127.1334387361
경기도,성남수정구,수진동,,4789-1,스타벅스 성남모란삼성프라자점,영업,202203,203001,211276.828486457,436877.411926097,37.4337284679,127.127911934
경기도,성남수정구,태평동,,7336,스타벅스 성남쉐덴,폐업,201009,201502,212442.826578624,438023.009277462,37.4441938,127.1413456
경기도,성남수정구,창곡동,,505,스타벅스 성남위례점,영업,201710,203001,212425.560064934,441216.370400153,37.4730424033,127.1412657466
경기도,성남수정구,태평동,,7336,스타벅스 성남이마트점,영업,201601,203001,212442.882832125,438023.009514472,37.444298149,127.1413917241
경기도,성남분당구,수내동,,17-1,스타벅스 수내역점,영업,201501,203001,210009.698536581,430637.827273289,37.3777619264,127.113821314
경기도,성남분당구,수내동,,10-1,스타벅스 수내점,영업,200610,203001,210042.842544976,430829.13726498,37.3795300021,127.1142414695
경기도,성남수정구,신흥동,,4124,스타벅스 신흥역점,영업,202003,203001,212889.780307968,437694.304837431,37.4413298775,127.146459042
경기도,성남분당구,야탑동,,514-2,스타벅스 야탑역사거리점,영업,202008,203001,211437.663290641,434174.553807773,37.4095876379,127.1301331312
경기도,성남분당구,야탑동,,341,스타벅스 야탑터미널점,영업,201712,203001,211202.148849893,434560.911834998,37.4130939326,127.1272456048
경기도,성남분당구,구미동,,185-4,스타벅스 오리역점,영업,201009,203001,209622.656372297,426298.088112417,37.3386633149,127.1093591614
경기도,성남분당구,정자동,,126-3,스타벅스 정자동점,영업,201606,203001,210033.26,429016.865,37.3631783782,127.1140654539
경기도,성남분당구,정자동,,19-6,스타벅스 정자역점,영업,200601,203001,209385.517788852,429423.778697904,37.3668048455,127.1067400575
경기도,성남분당구,삼평동,,721,스타벅스 판교봇들마을점,폐업,201504,20230,210172.975171826,433516.895629218,37.4037096295,127.1156767979
경기도,성남분당구,삼평동,,617,스타벅스 판교브릿지타워점,영업,201505,203001,208725.418296908,433442.93991998,37.4030693582,127.0992967673
경기도,성남분당구,삼평동,,740,스타벅스 판교아비뉴프랑R점,영업,201806,203001,209983.108079333,432804.509294042,37.397320957,127.1135515109
경기도,성남수정구,시흥동,,296-3,스타벅스 판교아이스퀘어점,영업,202108,203001,208628.019062999,434627.039171448,37.413431799,127.0983036411
경기도,성남분당구,백현동,,530,스타벅스 판교알파돔시티점,영업,201603,203001,209526.962902505,432419.161779872,37.3931510853,127.1091330642
경기도,성남분당구,백현동,,537,스타벅스 판교알파돔타워점,영업,201903,203001,209699.211982644,432464.663675098,37.3942187192,127.1103476504
경기도,성남분당구,삼평동,,670,스타벅스 판교유스페이스점,영업,201910,203001,209403.184110554,433182.472092071,37.4005799752,127.1068799859
경기도,성남분당구,정자동,,7,스타벅스분당정자,영업,201201,203001,209426.674184796,429960.357151272,37.371619638,127.1071666893
경기도,성남분당구,운중동,,943,스타벅스서판교점,영업,201507,203001,206813.31888957,432136.623634142,37.3912944674,127.0777368903
경기도,성남분당구,야탑동,,366-4,스타벅스야탑글라스,영업,201108,203001,211425.052548627,434313.239466121,37.4108667226,127.1298556424
경기도,성남분당구,구미동,,157,스타벅스오리역삼거리,영업,201208,203001,209533.890682103,426450.173468859,37.34004829,127.1084036802
경기도,성남분당구,정자동,,159-3,스타벅스정자,영업,201301,203001,209346.407508788,429208.109375539,37.3648834711,127.1063096542
경기도,성남분당구,정자동,,12-2,스타벅스정자상떼뷰점,영업,200703,203001,209283.343428217,429809.954982981,37.3703074342,127.1056036777
경기도,성남분당구,정자동,,169-1,스타벅스정자아데나,영업,201112,203001,209456.999378587,428761.682082442,37.3608405388,127.1075955341
경기도,성남중원구,중앙동,,208,스타벅스커피 단대오거리역점,영업,201410,203001,213609.401630242,437924.597739501,37.4433639735,127.154588999
경기도,성남분당구,구미동,,300,스타벅스커피 분당서울대병원1층,영업,201303,203001,210937.260614583,427534.279932334,37.3520167812,127.1244991912
경기도,성남분당구,구미동,,300,스타벅스커피 분당서울대병원4층,영업,201303,203001,210937.260614583,427534.279932334,37.3520167812,127.1244991912
경기도,성남분당구,삼평동,,663,스타벅스커피 판교역로점,영업,201407,203001,209794.549885546,432815.345127973,37.397386068,127.111415859
경기도,성남분당구,구미동,,9-1,스타벅스커피미금역사거리점,영업,201403,203001,209526.984726257,427477.243753026,37.3492781995,127.1083218741
경기도,성남분당구,금곡동,,168,스타벅스커피미금역점,영업,201404,203001,209379.607051064,427601.15850135,37.3503543722,127.1066678086
경기도,성남분당구,서현동,,267-3,스타벅스커피분당구청점,영업,201404,203001,210585.183552319,431337.304453493,37.3840744104,127.1202615398
경기도,성남분당구,서현동,,246-1,스타벅스커피서현점,영업,201405,203001,211082.488936963,431540.725712526,37.385886235,127.1259344184
경기도,성남분당구,수내동,,8-1,스타벅스커피수내로점,영업,201401,203001,210255.067144357,430932.56696319,37.3803939752,127.1165977885
경기도,성남분당구,삼평동,,741,스타벅스커피판교역,폐업,201310,202107,209993.600292929,432609.081811328,37.3954464194,127.1136515168
경기도,성남분당구,삼평동,,680,스타벅스판교에이치스퀘어,영업,201110,203001,209549.874547889,433248.085400252,37.4012708935,127.1086502502
경기도,성남분당구,삼평동,,679,스타벅스판교하이펙스,영업,201209,203001,209709.052786603,433248.72151622,37.4012858766,127.1104579421
경기도,수원영통구,영통동,,1024-4,스타벅스 경희대국제 캠퍼스점,영업,201404,203001,206738.63758714,416231.684723974,37.2479703246,127.0767564228
경기도,수원영통구,하동,,871-1,스타벅스 광교갤러리아 9F점,영업,202002,203001,960944.7912627717,1920496.7301460828,37.2853339989,127.0572677088
경기도,수원영통구,원천동,,605,스타벅스 광교더샵레이크시티점,영업,202207,203001,205289.160317374,418886.436433515,37.2722770637,127.0608294612
경기도,수원영통구,이의동,,1336-1,스타벅스 광교엘포트R점,영업,201811,203001,205049.975071918,420565.686783422,37.2870392797,127.0577089754
경기도,수원영통구,이의동,,1257,스타벅스 광교역점,영업,201811,203001,203831.289076957,422059.158335174,37.3005173049,127.0440447929
경기도,수원팔달구,인계동,,363-5,스타벅스 수원KBS DT점,영업,201801,203001,203051.081474937,418792.292636623,37.271088521,127.035199081
경기도,수원팔달구,인계동,,963-11,스타벅스 수원경수인계DT점,영업,202001,203001,202374.877982829,418734.423170623,37.2704363043,127.0275559643
경기도,수원권선구,오목천동,,321-20,스타벅스 수원권선DT점,영업,201709,203001,196740.219451597,416067.352903699,37.2466754026,126.9640209491
경기도,수원권선구,권선동,,1364,스타벅스 수원권선점,영업,201707,203001,202599.794401948,416089.125805678,37.246899359,127.0294393616
경기도,수원권선구,금곡동,,1114-1,스타벅스 수원금곡점,영업,201911,203001,195858.153517145,419228.576806355,37.2749967759,126.9540746531
경기도,수원팔달구,인계동,,1119-9,스타벅스 수원나혜석거리점,영업,202111,203001,202960.204358284,418035.016832603,37.2642338354,127.0341585218
경기도,수원권선구,서둔동,,381,스타벅스 수원롯데백화점2F점,영업,202201,203001,199673.378589066,418025.547756245,37.2641013965,126.9973705173
경기도,수원영통구,하동,,989,스타벅스 수원법조타운점,영업,201812,203001,205823.568119412,421057.602005781,37.291029521,127.0666661168
경기도,수원장안구,율전동,,285-6,스타벅스 수원성균관대점,영업,201301,203001,197408.803348594,421892.546928623,37.29897199,126.9715708684
경기도,수원권선구,세류동,,325-1,스타벅스 수원세류DT점,영업,202004,203001,200920.552956958,417873.166463528,37.2627893929,127.0112509237
경기도,수원권선구,세류동,,1163-2,스타벅스 수원세류역DT점,영업,202105,203001,201459.332357084,415763.796340812,37.2436770012,127.0171584218
경기도,수원권선구,권선동,,1023,스타벅스 수원시청점,폐업,201105,202105,202701.065840926,417715.351882346,37.2614369754,127.0312322931
