사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
스타벅스 안산고잔센트럴타워점,영업,201806,202301,185238.250233791,424118.821105048
스타벅스 안산문화광장,영업,201311,202301,184925.818678247,423160.666992721
스타벅스 안산삼성프라자,영업,202110,202301,186443.448620029,422699.708409701
스타벅스 안산상공회의소점,영업,201710,202301,184541.48023096,424099.90238406
스타벅스 안산중앙점,영업,201309,202301,185537.345,424095.65
스타벅스 안산한대앞역,영업,201309,202301,186743.469779199,422970.934105798
스타벅스 안산한양대,영업,201308,202301,185588.537243337,422112.786810636
스타벅스고잔이마트점,영업,201411,202301,183377.543937866,422364.168086117
스타벅스안산중앙역점,영업,200708,202301,185523.919813512,423927.203918079
스타벅스커피안산고잔점,폐업,201204,201905,185198.845046224,424038.229614973
스타벅스커피안산트레이더스점,영업,201204,202301,180873.786214121,425492.088360076
항공전음식부스(스타벅스커피),폐업,201104,201105,185029.298232779,419781.472977914
스타벅스 스타필드안성R점,영업,202009,202301,213062.918998049,388093.036705258
스타벅스 안성계동DT점,영업,202105,202301,223754.831555781,387194.926674313
스타벅스 안성공도DT점,영업,201908,202301,217794.549635882,389784.373426129
스타벅스 안성서동대로DT점,영업,202208,202301,216138.62213654,389244.399838166
스타벅스 안성석정DT점,영업,201812,202301,223252.611783833,389891.920590875
스타벅스커피 안성중앙로점,폐업,201310,202009,224030.544744944,389581.771815312
스타벅스 명학역점,영업,202005,202301,,
스타벅스 안양덕현DT점,영업,202208,202301,196408.706570799,429913.27246187
스타벅스 안양범계점,영업,202005,202301,195837.00631363,432179.152768616
스타벅스 안양비산DT점,영업,201507,202301,,
스타벅스 안양역R,영업,201910,202301,,
스타벅스 안양운동장사거리DT점,영업,201806,202301,195431.111940322,433230.360392755
스타벅스 안양호계DT,영업,201609,202301,196042.239147115,429386.302636043
스타벅스 평촌역DT점,영업,202001,202301,197417.163699682,432728.69323078
스타벅스 평촌역사거리점,영업,201505,202301,196802.03700246,432668.465071353
스타벅스 평촌호계,영업,201609,202301,196354.463425941,431213.280088232
스타벅스 호계지식산업센터점,영업,202002,202301,195399.644863837,430086.453538319
스타벅스범계역점,영업,201711,202301,195544.974046367,432016.783362963
스타벅스안양석수DT점,영업,201506,202301,,
스타벅스안양역점,영업,201509,202301,,
스타벅스안양이마트점,영업,202104,202301,,
스타벅스안양일번가점,영업,200209,202301,,
스타벅스커피 평촌로데오점,영업,201503,202301,196443.181873201,432317.15080843
스타벅스커피(범계로데오),영업,201106,202301,195951.714251929,432159.385640967
스타벅스커피(인덕원역),영업,201301,202301,197818.111875523,433137.578437473
스타벅스평촌아크로점,영업,200704,202301,196080.532197962,432244.867412549
스타벅스 양주고읍DT,영업,202006,202301,206913.029868327,477891.074932868
스타벅스 양주고읍점,영업,201508,202301,206900.351497689,476907.429568821
스타벅스 양주광사DT점,영업,201807,202301,206331.543059742,476462.205626624
스타벅스 양주덕정역DT점,영업,201903,202301,205488.508187277,481741.628245919
스타벅스 양주송추DT점,영업,201912,202301,197557.905598918,468348.612770823
스타벅스 양주옥정공원점,영업,202106,202301,208514.845620454,479857.819239391
스타벅스 양주옥정타운,영업,201906,202301,208211.569409,479559.894066587
스타벅스 양주회정DT점,영업,202208,202301,204753.166923373,481895.073800773
스타벅스 경기양평점,영업,201808,202301,244140.663053187,443326.395112011
스타벅스 더양평DTR점,영업,202007,202301,242527.806180111,443988.866408617
스타벅스 여주DT점,영업,201810,202301,256551.970562514,418431.660964619
스타벅스 여주P.아울렛입구점,영업,200904,202301,,
스타벅스 여주P.아울렛점,영업,200705,202301,,
스타벅스 여주자유CC,영업,202202,202301,250114.357887832,412420.976608934
스타벅스 오산원동DT점,영업,202205,202301,206485.71457012,404710.004760671
스타벅스서동탄DT점,영업,202207,202301,205704.03430697,410605.114654045
스타벅스오산갈곶DT점,영업,201810,202301,206274.043260479,403031.921376107
스타벅스오산세교점,영업,202005,202301,203958.096859208,408308.076476471
스타벅스오산수청DT점,영업,202012,202301,205856.791876121,406800.037882072
스타벅스커피오산아이씨(IC)디티(DT)점,영업,201505,202301,206748.943157181,404525.2394439
스타벅스커피코리아오산시청점,영업,201502,202301,206523.783745807,405184.738821014
스타벅스 강남대점,영업,201007,202301,211118.173754747,418801.766482142
스타벅스 광교중앙로점,영업,201308,202301,206062.913567458,421895.047057391
스타벅스 기흥역AK R점,영업,201905,202301,,
스타벅스 기흥테라타워점,영업,202202,202301,206320.323936435,414389.317976236
스타벅스 동백이마트점,영업,202008,202301,213383.977793755,419575.34117754
스타벅스 수지구청역점,영업,202210,202301,208336.644254501,424568.781762635
스타벅스 수지성복역점,영업,202106,202301,207038.477901087,423426.328483474
스타벅스 수지이마트점,영업,201011,202301,207318.572861803,424204.581779995
스타벅스 신세계경기점,영업,200703,202301,209514.367988403,424782.528523847
스타벅스 용인고매동점,영업,202004,202301,210124.077461246,413542.129882444
스타벅스 용인동백DT점,영업,201605,202301,212454.474773504,419188.613274904
스타벅스 용인모현DT점,영업,202304,202301,222023.656630364,427469.9064786
스타벅스 용인보라DT점,영업,201806,202301,209195.202568541,417077.580963729
스타벅스 용인보정DT점,영업,202006,202301,209190.894895532,424391.795756712
스타벅스 용인보정점,영업,201301,202301,209753.306645746,424231.599979607
스타벅스 용인상하DT점,영업,201904,202301,212562.093129975,417534.039606296
스타벅스 용인세브란스병원점,영업,202002,202301,212965.239500471,418770.382686716
스타벅스 용인시청DT,영업,201607,202301,215109.051675459,415386.813135046
스타벅스 용인언남점,영업,202005,202301,210745.57131955,421176.733589216
스타벅스 용인죽전역R점,영업,201905,202301,,
스타벅스 용인흥덕DT점,영업,202204,202301,206305.851045851,419211.16314517
스타벅스 죽전CGV점,폐업,200703,202204,209514.367988403,424782.528523847
